date,underlying_price,option_type,strike,expiration,bid,ask,last,volume,open_interest,implied_volatility,contract_symbol,risk_free,ttm,delta,gamma,vega,theta
2025-01-06,460.54,call,414.49,2025-02-05,45.0053,50.1107,47.9594,1103,4976,0.2179,SPY250205C00414490,0.04534,0.0821917808219178,0.9622415795957544,0.002857840364243748,10.855711666103236,-32.304358164960036
2025-01-06,460.54,put,414.49,2025-02-05,0.01,5.1154,0.3685,3233,5822,0.2179,SPY250205P00414490,0.04534,0.0821917808219178,-0.037758420404245596,0.002857840364243748,10.855711666103236,-13.58128467766357
2025-01-06,460.54,call,437.51,2025-02-05,24.5152,29.6206,25.6636,2801,5475,0.225,SPY250205C00437510,0.04534,0.0821917808219178,0.8120046283432675,0.009075124569935202,35.595755639832774,-64.41582895172782
2025-01-06,460.54,put,437.51,2025-02-05,0.6177,5.7231,0.9061,3563,5692,0.225,SPY250205P00437510,0.04534,0.0821917808219178,-0.18799537165673252,0.009075124569935202,35.595755639832774,-44.65291095267579
2025-01-06,460.54,call,460.54,2025-02-05,9.5897,14.6951,12.4196,3597,3882,0.2153,SPY250205C00460540,0.04534,0.0821917808219178,0.5363476779149025,0.013975808064754732,52.45465814640522,-79.34855089248268
2025-01-06,460.54,put,460.54,2025-02-05,8.0151,13.1205,10.0971,1632,2968,0.2153,SPY250205P00460540,0.04534,0.0821917808219178,-0.46365232208509755,0.013975808064754732,52.45465814640522,-58.54533666815999
2025-01-06,460.54,call,483.57,2025-02-05,1.516,6.6214,3.3236,3527,6015,0.2182,SPY250205C00483570,0.04534,0.0821917808219178,0.24535085013668934,0.010920225224899242,41.53836951306626,-60.07617789314489
2025-01-06,460.54,put,483.57,2025-02-05,22.7327,27.8381,25.5029,404,4060,0.2182,SPY250205P00483570,0.04534,0.0821917808219178,-0.7546491498633107,0.010920225224899242,41.53836951306626,-38.232667443551534
2025-01-06,460.54,call,506.59,2025-02-05,0.01,5.1154,2.1634,3354,5485,0.2172,SPY250205C00506590,0.04534,0.0821917808219178,0.07500374712369787,0.004936301593780516,18.690658840655395,-26.21948874109532
2025-01-06,460.54,put,506.59,2025-02-05,42.8103,47.9157,45.193,2629,3879,0.2172,SPY250205P00506590,0.04534,0.0821917808219178,-0.9249962528763022,0.004936301593780516,18.690658840655395,-3.3361337797463975
2025-01-06,460.54,call,414.49,2025-02-20,48.1998,53.3052,50.7482,1864,4000,0.2655,SPY250220C00414490,0.04534,0.1232876712328767,0.8918943762786227,0.004325397200561702,30.029277469366296,-48.659539335266984
2025-01-06,460.54,put,414.49,2025-02-20,0.01,5.1154,2.0395,2528,3452,0.2655,SPY250220P00414490,0.04534,0.1232876712328767,-0.10810562372137733,0.004325397200561702,30.029277469366296,-29.971319838377724
2025-01-06,460.54,call,437.51,2025-02-20,29.1458,34.2512,32.6945,3936,7437,0.2577,SPY250220C00437510,0.04534,0.1232876712328767,0.7498344268802462,0.007628388747191672,51.40455429862683,-67.93083628861386
2025-01-06,460.54,put,437.51,2025-02-20,3.8996,9.005,7.1615,1356,5287,0.2577,SPY250220P00437510,0.04534,0.1232876712328767,-0.25016557311975385,0.007628388747191672,51.40455429862683,-48.204708005461015
