date,expiration,option_type,strike,implied_volatility,iv_zscore,iv_anomaly
2025-01-06,2025-02-05,call,414.49,0.2179,-0.2486264392083932,False
2025-01-06,2025-02-05,put,414.49,0.2179,-0.2486264392083932,False
2025-01-06,2025-02-05,call,437.51,0.225,1.9041146807666773,True
2025-01-06,2025-02-05,put,437.51,0.225,1.9041146807666773,True
2025-01-06,2025-02-05,call,460.54,0.2153,-1.0369541732837775,False
2025-01-06,2025-02-05,put,460.54,0.2153,-1.0369541732837775,False
2025-01-06,2025-02-05,call,483.57,0.2182,-0.1576655468150819,False
2025-01-06,2025-02-05,put,483.57,0.2182,-0.1576655468150819,False
2025-01-06,2025-02-05,call,506.59,0.2172,-0.4608685214594585,False
2025-01-06,2025-02-05,put,506.59,0.2172,-0.4608685214594585,False
2025-01-06,2025-02-20,call,414.49,0.2655,-0.1617064311926471,False
2025-01-06,2025-02-20,put,414.49,0.2655,-0.1617064311926471,False
2025-01-06,2025-02-20,call,437.51,0.2577,-1.1172444336947054,False
2025-01-06,2025-02-20,put,437.51,0.2577,-1.1172444336947054,False
2025-01-06,2025-02-20,call,460.54,0.2813,1.7738705482345893,False
2025-01-06,2025-02-20,put,460.54,0.2813,1.7738705482345893,False
2025-01-06,2025-02-20,call,483.57,0.2687,0.2303091595774242,False
2025-01-06,2025-02-20,put,483.57,0.2687,0.2303091595774242,False
2025-01-06,2025-02-20,call,506.59,0.2609,-0.7252288429246272,False
2025-01-06,2025-02-20,put,506.59,0.2609,-0.7252288429246272,False
2025-01-06,2025-03-07,call,414.49,0.1886,0.02771949527306463,False
2025-01-06,2025-03-07,put,414.49,0.1886,0.02771949527306463,False
2025-01-06,2025-03-07,call,437.51,0.1815,-0.7292359525683662,False
2025-01-06,2025-03-07,put,437.51,0.1815,-0.7292359525683662,False
2025-01-06,2025-03-07,call,460.54,0.1855,-0.3027821791365735,False
2025-01-06,2025-03-07,put,460.54,0.1855,-0.3027821791365735,False
2025-01-06,2025-03-07,call,483.57,0.18,-0.8891561176052885,False
2025-01-06,2025-03-07,put,483.57,0.18,-0.8891561176052885,False
2025-01-06,2025-03-07,call,506.59,0.2061,1.8934547540371576,True
2025-01-06,2025-03-07,put,506.59,0.2061,1.8934547540371576,True
2025-01-07,2025-02-06,call,417.69,0.2223,0.599134223619962,False
2025-01-07,2025-02-06,put,417.69,0.2223,0.599134223619962,False
2025-01-07,2025-02-06,call,440.89,0.2083,-0.6565363049248688,False
2025-01-07,2025-02-06,put,440.89,0.2083,-0.6565363049248688,False
2025-01-07,2025-02-06,call,464.1,0.2332,1.576763420844152,False
2025-01-07,2025-02-06,put,464.1,0.2332,1.576763420844152,False
2025-01-07,2025-02-06,call,487.31,0.2012,-1.2933406444011786,False
2025-01-07,2025-02-06,put,487.31,0.2012,-1.2933406444011786,False
2025-01-07,2025-02-06,call,510.51,0.2131,-0.2260206951380693,False
2025-01-07,2025-02-06,put,510.51,0.2131,-0.2260206951380693,False
2025-01-07,2025-02-21,call,417.69,0.261,-1.8440895260154424,True
2025-01-07,2025-02-21,put,417.69,0.261,-1.8440895260154424,True
2025-01-07,2025-02-21,call,440.89,0.2834,0.6777423044330222,False
2025-01-07,2025-02-21,put,440.89,0.2834,0.6777423044330222,False
2025-01-07,2025-02-21,call,464.1,0.275,-0.2679446319851489,False
2025-01-07,2025-02-21,put,464.1,0.275,-0.2679446319851489,False
2025-01-07,2025-02-21,call,487.31,0.2825,0.5764187041025021,False
2025-01-07,2025-02-21,put,487.31,0.2825,0.5764187041025021,False
